الحي,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile,Mean
 3419 ,3734.3051846998114,3808.262961749529,3931.525923499058,4792.446857727562,5308.999418264664,4423.297905151708
 أم الحمام الغربي ,2136.0,2447.0,3500.0,3976.0,4749.899143672693,3513.8141036639818
 إشبيلية ,1542.8200000000002,2768.0,4000.0,4921.0,5766.696236218477,3881.8497689299634
 البيان ,1809.984924224391,1920.0,2150.0,2268.333333333333,2507.645918587121,2219.6345134763255
 الراية ,342.22222222222223,390.55555555555554,446.23655913978496,501.2999058767625,540.0023703967081,436.07424379250335
 الرسالة ,272.53712983588713,300.0,302.5589378083955,339.8149243140965,379.5,321.4099629504954
 الزاهر ,448.1570512820513,512.5915750915751,589.9444444444445,646.9743623340322,777.7777777777778,596.4501543951809
 السحاب ,403.0,403.0,403.0,403.0,1400.0,561.3042153937013
 الشعلة ,400.0,424.6511627906977,468.0720063012618,592.8333333333334,673.3333333333333,513.9665471323217
 الشميسي ,596.7776223776224,918.8329440461839,1948.0,3262.6420022156813,4545.6,2287.455513999651
 الطندباوى ,3853.5645472061656,3853.5645472061656,3853.5645472061656,3853.5645472061656,3853.5645472061656,3853.5645472061656
 العلا ,407.6595744680851,478.3333333333333,533.3333333333334,603.25,676.0,553.796987568581
 القادسية ,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0
 المشرق ,399.8611111111111,501.49893364452134,599.1285403050109,669.4444444444443,861.8739472629416,614.5825205199495
 الملك سلمان ,9093.0,9393.0,9722.0,9974.0,12254.0,9941.012345679012
 المهدية ,2101.443579331245,2500.0,2960.0,3570.9074073610427,4882.800080083643,3247.1408466531902
 النخبة ,304.4577734475433,367.83333333333337,413.0,449.72222222222223,485.34005055745115,408.8321713581018
 الواحة ,7843.069625928596,8308.962669877861,8865.18771331058,10220.231429637926,10898.48673327808,9148.323289142358
 الوادي ,2238.4,3310.0,6360.0,7915.0,11687.199999999999,6522.379937509835
 الوسام ,403.0,403.0,403.0,403.0,1550.0,645.8197003787833
 سدرة ,3310.0,3496.0,3920.0,4745.039417980599,6156.330784616024,4361.911962448696
 عرقة ,611.0,611.0,611.0,611.0,611.0,611.0
 عرقه ,3000.0,4626.570000650856,5784.0,7942.409090909091,9606.631599204567,6380.822601445125
 عكاظ ,1200.0,1350.0,2628.224434591037,2721.793531989483,3316.666666666667,2391.173559500315
أحد,883.6003770028276,1013.2252298263534,1242.8571,2122.25105,3206.0,1601.7183036746144
أخرى,671.3000000000001,1118.740025,1166.6215499999998,1861.6033499999999,3908.0990614485586,1903.6819367204398
أم سليم,3819.00596,3847.7866999999997,4009.2147,4425.332825,4912.55579,4263.904825
ارضة الجو منطقة العزيزية,3237.5,3332.75,3491.5,3650.25,3745.5,3491.5
اسكان الجزيره,2892.5619,2892.5619,2892.5619,2892.5619,2892.5619,2892.5619
اشبيليا,1930.3380200000001,2500.6251,3499.955555555556,4416.6666,5366.17902,3507.5446607816784
الازدهار,3947.30056,4877.316725444586,7356.09636486238,8749.2074,10465.865516925052,7239.337571636222
الاسكان,250.0,250.0,250.0,250.0,250.0,250.0
الامانة,3021.952904870522,4500.0,5600.795019340389,6227.672756115611,7112.7690324717105,5225.939979789237
الاندلس,2374.0296576,3167.31235,4342.857142857143,5268.5594,6431.03884049693,4629.603691109589
البديعة,734.3784994400896,1313.40915,1857.0,2698.0,4191.438807350052,2199.5852737896007
البرية,397.46031746031747,541.8623188405797,634.0,771.7116402116402,912.8000000000001,678.2440830279489
البطحاء,9225.748220000001,17064.37055,30128.7411,30518.916004545456,30753.020947272726,21679.277336363637
البيان,1600.0,1666.6666,2000.0,2150.0,2200.0,1925.3318811320755
التعاون,4088.8083657142856,5445.304166066023,7200.0,9071.203958920276,10743.6,7339.026026709849
الجامعة,3703.7037,3703.7037,3703.7037,3703.7037,3703.7037,3703.7037
الجبس,590.8,635.5,710.0,784.5,829.2,710.0
الجرادية,763.46862,916.9627583476763,1319.6594427244584,2937.8367,4206.060961905832,2011.836857414747
الجزيرة,619.0,619.8347107438017,1468.6376737604774,2947.265625,4242.7,1966.1115858592107
الجنادرية,750.0000016128056,1359.9619346009335,1799.96105,2578.4423076923076,3148.9091831557585,1953.0030817832198
الحائر,43.3178,156.99572971615171,285.0,401.0,759.6309543647491,359.96448423024344
الحزم,1201.0861921608084,1623.0,2533.6839461524883,3606.622425,4472.832680769231,2667.567091399114
