,Unnamed: 0.1,Unnamed: 0,School Name,Coordinates,Address,School Type,latitude,longitude,District,Address3
0,0.0,0,مدرسة أبي سعيد الخدري الابتدائية (بنين),"'24.8477562', '46.785927'","RURC2877، 2877 محمد المصيبيح، 6957، حي الرمال، RURC2877، 2877 محمد المصيبيح، 6957، حي الرمال، الرياض 13256،, Riyadh 13256",Primary school,24.8477562,46.785927,الرمال,
1,1.0,1,ابتدائية الرمال الأولى بنات,"'24.8436614', '46.7880085'",3096، 6496، الرمال، الرياض 13256،,Primary school,24.8436614,46.7880085,الرمال,
2,2.0,2,مدرسة جديدة,"'24.8430849', '46.7883099'","RURB3122, 3122 الوليد بن هشام بن معاوية، 6447، حي الرمال، RURB3122، 3122 الوليد بن هشام بن معاوية، 6447، حي الرمال،, Riyadh 13256",School,24.8430849,46.7883099,الرمال,
3,4.0,4,مدرسة النيرات النسائية لتحفيظ القرآن,"'24.8463871', '46.7880918'","RURB6821، 6821 مطرف بن طريف، 3096، حي الرمال، RURB6821، 6821 مطرف بن طريف، 3096، حي الرمال، الرياض 13256،, Riyadh 13256",School,24.8463871,46.7880918,الرمال,
4,5.0,5,مدارس إتقان التربية - الرمال,"'24.8498018', '46.7891259'","RQXV+M9R, Ar Rimal، 7180، الرمال، الرياض 13256 3205،, Riyadh",Private educational institution,24.8498018,46.7891259,الرمال,
5,9.0,9,متوسطة وثانوية بنين حي الرمال,"'24.8446708', '46.8127682'",2915 شارع فضل الله بن عبدالله الطبري، حي الرمال، الرياض 13263 7630،,School,24.8446708,46.8127682,الرمال,
6,11.0,11,Al Rriyadah Int. Schools,"'24.82303', '46.7871124'","RUMA6873، 6873 عبد العزيز النشمي، 4005، حي المونسية، الرياض 13253،, Riyadh 00966",School,24.82303,46.7871124,المونسية,
7,15.0,15,مدرسه بنات,"'24.8395897', '46.7696043'","2996، حي المونسية، 6884 رقم 298 RUMA6884, Riyadh 13255",Elementary school,24.8395897,46.7696043,المونسية,
8,18.0,18,مدارس الغد المشرق الاهليه بنات بنين,"'24.8229317', '46.7801894'","حي, 6920 قرن الفتيح، 3259، المونسية، الرياض 13253،",Cramming school,24.8229317,46.7801894,المونسية,
9,31.0,31,مدرسة البيان الابتدائية والمتوسطة الأولى,"'24.8772778', '46.8560912'","8314 عبدالرحمن بن سلامة، حي البيان، RTBC3183، 3183, Riyadh 13617",School,24.8772778,46.8560912,البيان,
10,35.0,35,مداد البيان الاهلية بنات,"'24.8041999', '46.8775003'",RSNB3606، 3606 الميناء، 8518، حي النظيم، الرياض 14813،,School,24.8041999,46.8775003,النظيم,
11,36.0,36,دار سارة الباهلي,"'24.8159141', '46.7272112'",3408 طريق الأمير محمد بن سلمان بن عبدالعزيز، قرطبة، الرياض 13247 6744،,School,24.8159141,46.7272112,قرطبة,
12,37.0,37,مدرسة ازهار البيان لتحفيظ القران الكريم,"'24.8131505', '46.8112197'","حي القادسية، RFJA3793، 3793 وادي مأرب، 6766, Riyadh 13252",Preschool,24.8131505,46.8112197,القادسية,
13,39.0,39,المدرسة التمهيدية بيان,"'24.6756667', '46.7766444'",8410، 4879 وعلان، الصفا، الرياض 12853 8410,School,24.6756667,46.7766444,الصفا,
14,40.0,40,المدرسة التمهيدية بيان,"'24.6756682', '46.7766444'",8410، 4879 وعلان، الصفا، الرياض 12853 8410,School,24.6756682,46.7766444,الصفا,
15,43.0,43,مدرسة آل حواش النسائية,"'24.6721018', '46.7828062'","2572 رقم 7، الجزيرة، الرياض 14251 6582 No. 7, Al Jazirah, Riyadh 14251",School,24.6721018,46.7828062,الجزيرة,
16,44.0,44,مدرسة,"'24.6695284', '46.7901468'","RQJA6293، 6293 10، 3329، حي الجزيرة, Riyadh 14252",Elementary school,24.6695284,46.7901468,الجزيرة,
17,50.0,50,المدرسة التمهيدية بيان,"'24.6756667', '46.7766444'",8410، 4879 وعلان، الصفا، الرياض 12853 8410,School,24.6756667,46.7766444,الصفا,
18,53.0,53,مدرسة آل حواش النسائية,"'24.6721018', '46.7828062'","2572 رقم 7، الجزيرة، الرياض 14251 6582 No. 7, Al Jazirah, Riyadh 14251",School,24.6721018,46.7828062,الجزيرة,
19,57.0,57,مدرسة,"'24.6695284', '46.7901468'","RQJA6293، 6293 10، 3329، حي الجزيرة, Riyadh 14252",Elementary school,24.6695284,46.7901468,الجزيرة,
20,60.0,60,المدرسة التمهيدية بيان,"'24.6756667', '46.7766444'",8410، 4879 وعلان، الصفا، الرياض 12853 8410,School,24.6756667,46.7766444,الصفا,
21,65.0,65,مدرسة آل حواش النسائية,"'24.6721018', '46.7828062'","2572 رقم 7، الجزيرة، الرياض 14251 6582 No. 7, Al Jazirah, Riyadh 14251",School,24.6721018,46.7828062,الجزيرة,
22,67.0,67,مدرسة,"'24.6695284', '46.7901468'","RQJA6293، 6293 10، 3329، حي الجزيرة, Riyadh 14252",Elementary school,24.6695284,46.7901468,الجزيرة,
23,70.0,70,مدرسة,"'24.6695284', '46.7901468'","RQJA6293، 6293 10، 3329، حي الجزيرة, Riyadh 14252",Elementary school,24.6695284,46.7901468,الجزيرة,
24,79.0,79,Middle School,"'24.6728337', '46.8156801'","4036 طريق ابو عبيدة عامر بن الجراح، الفيحاء، الرياض 14254 6557 Abu Oubaidah Ibn Al Jarrah, 6557, Al Fayha, Riyadh 14254",School,24.6728337,46.8156801,الفيحاء,
25,80.0,80,مدرسة,"'24.6695284', '46.7901468'","RQJA6293، 6293 10، 3329، حي الجزيرة, Riyadh 14252",Elementary school,24.6695284,46.7901468,الجزيرة,
26,84.0,84,الاكحل,"'24.7337183', '46.6642862'","حي الملك فهد، RHFA6656، 6656 العليا، 2451, Riyadh 12261",High school,24.7337183,46.6642862,الملك,
27,88.0,88,Intermediate and secondary school section of the Civil Schools,"'24.6848644', '46.6693247'","7108 ال قباع، المعذر الشمالي، الرياض 12314 2646 Al Quba, 2646, Al Mathar Ash Shamali, Riyadh 12314",School,24.6848644,46.6693247,الشمالي,
28,89.0,89,بالقرب من مدرسة الوليد بن عمارة,"'24.6256519', '46.5720756'","حي ظهرة لبن، RDLB7028، 7028 سمرا، 4653, Riyadh 13781",Elementary school,24.6256519,46.5720756,ظهرة,
29,90.0,90,روضة و ابتدائية مدارس قادة الأمة بنات,"'24.6270325', '46.5666521'","4342 طيبة، حي ظهرة لبن، RDLB7048، 7048, Riyadh 13781",School,24.6270325,46.5666521,ظهرة,
30,91.0,91,بالقرب من مدرسة الوليد بن عمارة,"'24.6256519', '46.5720756'","حي ظهرة لبن، RDLB7028، 7028 سمرا، 4653, Riyadh 13781",Elementary school,24.6256519,46.5720756,ظهرة,
