,School Name,Coordinates,Address,School Type,latitude,longitude
0,Abdul-rahman Alobailan's mother mosque,"'24.8178692', '46.7210481'","RP9C+4GW, Qurtubah, Riyadh 13247",Mosque,24.8178692,46.7210481
1,Hamad Albabtain Mosque,"'24.8052186', '46.7420522'","RP4R+3WP, Shudaiq, Qurtubah, Riyadh 13245",Mosque,24.8052186,46.7420522
2,Masjid Khalid bin Al Waleed,"'24.8106042', '46.7398239'","Khalid Bin Al Waleed Mosque, Tayyibah, Qurtubah, Riyadh 13245",Mosque,24.8106042,46.7398239
3,Othman Bin Affan Mosque,"'24.7932918', '46.6990134'","Uthman Ibn Affan Branch Rd، الرياض - حي الوادي طريق عثمان بن عفان رضي الله عنه, Riyadh",Mosque,24.7932918,46.6990134
4,Othman Bin Affan Mosque,"'24.7933018', '46.6990133'","Uthman Ibn Affan Branch Rd، الرياض - حي الوادي طريق عثمان بن عفان رضي الله عنه, Riyadh",Mosque,24.7933018,46.6990133
5,Al Noor Mosque,"'24.845227', '46.7578105'","4252 Al Thoumamah Rd, Al Munsiyah, Riyadh 13421",Mosque,24.845227,46.7578105
6,جامع سليمان العيسى,"'24.8125051', '46.7594084'","3088, Al Munsiyah, 6560, Riyadh 13246",Mosque,24.8125051,46.7594084
7,Al Falah Grand Mosque,"'24.7901563', '46.7023285'","QPR3+329, Uthman Ibn Affan Rd, Al Falah, Riyadh 13314",Mosque,24.7901563,46.7023285
8,Al Falah Grand Mosque,"'24.7901563', '46.7023285'","QPR3+329, Uthman Ibn Affan Rd, Al Falah, Riyadh 13314",Mosque,24.7901563,46.7023285
9,Khalid bin Waleed Mosque,"'24.8038819', '46.7189628'","RP39+HM5, Qurtubah, Riyadh 13244",Mosque,24.8038819,46.7189628
10,Prince Sultan bin Fahd Mosque,"'24.8018432', '46.7340663'","RP2M+PPQ, Baijan, Qurtubah, Riyadh 13244",Mosque,24.8018432,46.7340663
11,Masjid Khalid bin Al Waleed,"'24.8106042', '46.7398239'","Khalid Bin Al Waleed Mosque, Tayyibah, Qurtubah, Riyadh 13245",Mosque,24.8106042,46.7398239
12,Masjid Khalid bin Al Waleed,"'24.8106142', '46.7398238'","Khalid Bin Al Waleed Mosque, Tayyibah, Qurtubah, Riyadh 13245",Mosque,24.8106142,46.7398238
13,Hamad Albabtain Mosque,"'24.8052186', '46.7420522'","RP4R+3WP, Shudaiq, Qurtubah, Riyadh 13245",Mosque,24.8052186,46.7420522
14,Arini Mosque,"'24.8130894', '46.734775'","RP7P+62M، الصويدرة, Qurtubah, Riyadh 13245",Mosque,24.8130894,46.734775
15,مسجد قرطبة,"'24.8118209', '46.7377987'","2622 7282, Riyadh 13245",Mosque,24.8118209,46.7377987
16,Masjid Khalid bin Al Waleed,"'24.8106042', '46.7398239'","Khalid Bin Al Waleed Mosque, Tayyibah, Qurtubah, Riyadh 13245",Mosque,24.8106042,46.7398239
17,Arini Mosque,"'24.8130894', '46.734775'","RP7P+62M، الصويدرة, Qurtubah, Riyadh 13245",Mosque,24.8130894,46.734775
18,مسجد قرطبة,"'24.8118209', '46.7377987'","2622 7282, Riyadh 13245",Mosque,24.8118209,46.7377987
19,Mamur Mosque,"'24.8106461', '46.743243'","7162 عشيره، 3172, Qurtubah, Riyadh 13245",Mosque,24.8106461,46.743243
20,Masjid Khalid bin Al Waleed,"'24.8106042', '46.7398239'","Khalid Bin Al Waleed Mosque, Tayyibah, Qurtubah, Riyadh 13245",Mosque,24.8106042,46.7398239
21,Mamur Mosque,"'24.8106461', '46.743243'","7162 عشيره، 3172, Qurtubah, Riyadh 13245",Mosque,24.8106461,46.743243
22,Dar righteous mosque,"'24.8138683', '46.7424976'","3100, Qurtubah, 7508, Riyadh 13245",Mosque,24.8138683,46.7424976
23,جامع محمد العصيمي,"'24.8101316', '46.7485093'","3724 As Samahah, Qurtubah, Riyadh 13245",Mosque,24.8101316,46.7485093
24,Sheikh Abdullah bin Abdulaziz Al Salam Mosque,"'24.8149972', '46.7464218'","7645 Wasil, Qurtubah, Riyadh 13245",Mosque,24.8149972,46.7464218
25,مسجد حمد الجنيدل,"'24.5561669', '46.5159604'","HG48+FF9, Tuwaiq, Riyadh 14929",Mosque,24.5561669,46.5159604
26,جامع حي السحاب,"'24.1442209', '47.3798282'","49VJ+M2Q, Firstal Safwa, Al-Kharj 16442",Mosque,24.1442209,47.3798282
27,مسجد سعد بن زيد -رضي الله عنه-,"'24.7953199', '46.7439639'","7267 Wadi Rukbah, 7267, Ghirnatah، 2403, Riyadh 13242",Mosque,24.7953199,46.7439639
28,Mamur Mosque,"'24.8106461', '46.743243'","7162 عشيره، 3172, Qurtubah, Riyadh 13245",Mosque,24.8106461,46.743243
29,Al Eman Mosque,"'24.7848182', '46.7520574'","QQM2+WWG, Al Hamra, Riyadh 13217",Mosque,24.7848182,46.7520574
30,Al Juaid Mosque,"'24.7676132', '46.7378424'","2775 6873 المروج, Al Hamra, Riyadh 13216",Mosque,24.7676132,46.7378424
31,مسجد قرطبة,"'24.8118209', '46.7377987'","2622 7282, Riyadh 13245",Mosque,24.8118209,46.7377987
32,Abdullah bin Ibrahim Al-Muammar Mosque,"'24.7863437', '46.7184849'","QPP9+GGJ, Al Janadil, Al Izdihar, Riyadh 12488",Mosque,24.7863437,46.7184849
33,King Abdullah Bin Abdul Aziz Mosque,"'24.7061836', '46.655496'","6218 Al Urubah Rd, حي الرحمانية، 2898، Riyadh 12342",Mosque,24.7061836,46.655496
34,Shaik Abdulrazaq Afifi Mosque,"'24.7638424', '46.6661319'","3601 Prince Abdulmuhsin Ibn Jalawi, Al Muruj, Riyadh 12284",Mosque,24.7638424,46.6661319
35,King Khalid Grand Mosque,"'24.7009662', '46.6522518'","PM23+92M، شارع أم الحمام، أم الحمام الغربي،, Riyadh 11564",Mosque,24.7009662,46.6522518
