,District Name,Coordinates,address,url,latitude,longitude
0,الرياض- حي الرمال,"24.8493607, 46.786046","7138 أبي الحسن الرشيدي، حي الرمال، RURC2899، 2899, Riyadh 13256","https://www.google.com/maps/place/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-+%D8%AD%D9%8A+%D8%A7%D9%84%D8%B1%D9%85%D8%A7%D9%84%E2%80%AD/@24.8493607,46.786046,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNix2YXYp9mEICwgUml5YWRo!3m6!1s0x3e2eff32f60fb755:0x9a696dba68f6f603!8m2!3d24.8493607!4d46.7863437!15sChrYrdmKINin2YTYsdmF2KfZhCAsIFJpeWFkaJIBEmFwYXJ0bWVudF9idWlsZGluZ-ABAA!16s%2Fg%2F11sk15h1b7?entry=ttu",24.8493607,46.786046
2,Al Munsiyah,"24.8317156, 46.7474946",0,"https://www.google.com/maps/place/Al+Munsiyah,+Riyadh/@24.8317156,46.7474946,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2efeeb3e4c5905:0x5c3160d670804658!8m2!3d24.8316931!4d46.7677283!16s%2Fg%2F1thmcwls?entry=ttu",24.8317156,46.7474946
3,حي قرطبة,"24.817733, 46.7357229","RP9P+3CR, Qurtubah, Riyadh 13245","https://www.google.com/maps/place/%D8%AD%D9%8A+%D9%82%D8%B1%D8%B7%D8%A8%D8%A9%E2%80%AD/@24.817733,46.7357229,21z/data=!4m10!1m2!2m1!1zINit2Yog2YLYsdi32KjYqSAsIFJpeWFkaA!3m6!1s0x3e2efd23253f8579:0x37c1df16295da287!8m2!3d24.817733!4d46.7360206!15sChjYrdmKINmC2LHYt9io2KkgLCBSaXlhZGhaGCIW2K3ZiiDZgtix2LfYqNipIHJpeWFkaJIBFnRyYW5zcG9ydGF0aW9uX3NlcnZpY2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXhOblZtYkZabkVBReABAA!16s%2Fg%2F11svx1ds3f?entry=ttu",24.817733,46.7357229
4,حي البيان,"24.8860065, 46.8684018","VVP9+CF4 حي, ابن الجزري، Ash Sharq, Riyadh 13618","https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%E2%80%AD/@24.8860065,46.8684018,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNio2YrYp9mGICwgUml5YWRo!3m6!1s0x3e2e558df41a3a45:0x174925bba8a6203f!8m2!3d24.8860065!4d46.8686995!15sChrYrdmKINin2YTYqNmK2KfZhiAsIFJpeWFkaJIBE2hvdXNpbmdfZGV2ZWxvcG1lbnTgAQA!16s%2Fg%2F11qghxgdks?entry=ttu",24.8860065,46.8684018
6,حي المرجان الرياض,"24.92461, 46.8652094",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D9%85%D8%B1%D8%AC%D8%A7%D9%86+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@24.92461,46.8652094,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e57a2b81219c7:0x37138dcfce83aec7!8m2!3d24.92461!4d46.8677843!16s%2Fg%2F11s7rb_jdc?entry=ttu",24.92461,46.8652094
8,حي الوسام (مدينة المستقبل),"24.911, 46.9134251",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D9%88%D8%B3%D8%A7%D9%85+(%D9%85%D8%AF%D9%8A%D9%86%D8%A9+%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84)%E2%80%AD/@24.911,46.9134251,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e51c44448bd4b:0x95014bb3481f1c78!8m2!3d24.911!4d46.916!16s%2Fg%2F11t1h3wg96?entry=ttu",24.911,46.9134251
10,حي السحاب الرياض,"24.9545446, 46.9874569",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B3%D8%AD%D8%A7%D8%A8+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@24.9545446,46.9874569,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e4f4963fefc0f:0xa2bf95127dd3cb5a!8m2!3d24.9545446!4d46.9900318!16s%2Fg%2F11tcxlttwc?entry=ttu",24.9545446,46.9874569
11,حي المشرق الرياض,"24.9575603, 47.0276342","X25H+25, Ash Sharq, Riyadh 13811","https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%82+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@24.9575603,47.0276342,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNmF2LTYsdmCICwgUml5YWRo!3m6!1s0x3e2e4fd05c052235:0x81f8931f19b2d828!8m2!3d24.9575603!4d47.0279319!15sChrYrdmKINin2YTZhdi02LHZgiAsIFJpeWFkaJIBEWFwYXJ0bWVudF9jb21wbGV44AEA!16s%2Fg%2F11tff8mlmz?entry=ttu",24.9575603,47.0276342
13,حي الزاهر الرياض,"24.9973589, 47.0403346",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B2%D8%A7%D9%87%D8%B1+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@24.9973589,47.0403346,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e4f3fc77250bf:0xb625d1371be960a8!8m2!3d24.9973589!4d47.0429095!16s%2Fg%2F11tcxm1fnt?entry=ttu",24.9973589,47.0403346
15,حي التضامن الرياض,"25.0223312, 47.0349343",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%AA%D8%B6%D8%A7%D9%85%D9%86+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@25.0223312,47.0349343,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e4fd6ae078c8d:0xd64ee0ac62110520!8m2!3d25.0223312!4d47.0375092!16s%2Fg%2F11s7rcd_94?entry=ttu",25.0223312,47.0349343
17,حي الشعلة الرياض,"25.0070577, 47.0506902",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B4%D8%B9%D9%84%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@25.0070577,47.0506902,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e4f2e38039111:0x3b1fb837ce8e9f2a!8m2!3d25.0070577!4d47.0532651!16s%2Fg%2F11tcxm5yqk?entry=ttu",25.0070577,47.0506902
19,Al Olaya,"24.6923948, 46.6629288",0,"https://www.google.com/maps/place/Al+Olaya,+Riyadh/@24.6923948,46.6629288,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f033bb824b417:0xdc9745cc4a78b2d2!8m2!3d24.695087!4d46.6806472!16s%2Fm%2F02x6g2f?entry=ttu",24.6923948,46.6629288
20,Flowers Garden,"24.7321475, 46.6505735","PMJ2+V85, Al Takhassousi, Al Mohammadiyyah, Riyadh 12363","https://www.google.com/maps/place/Flowers+Garden/@24.7321475,46.6505735,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNiy2YfZiNixICwgUml5YWRo!3m6!1s0x3e2f1da39343635f:0xf11494b0eed5c2fa!8m2!3d24.7321475!4d46.6508712!15sChrYrdmKINin2YTYstmH2YjYsSAsIFJpeWFkaFoaIhjYrdmKINin2YTYstmH2YjYsSByaXlhZGiSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJEYkRsaWJqSlJSUkFC4AEA!16s%2Fg%2F11f6cqsz8p?entry=ttu",24.7321475,46.6505735
22,حي الراية الرياض,"24.9938862, 47.0767265",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B1%D8%A7%D9%8A%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@24.9938862,47.0767265,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e49229fceb797:0x6e43d87bc64d070f!8m2!3d24.9938862!4d47.0793014!16s%2Fg%2F11tff8g54m?entry=ttu",24.9938862,47.0767265
24,حي الفرسان الرياض,"24.9798438, 47.0785953",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D9%81%D8%B1%D8%B3%D8%A7%D9%86+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@24.9798438,47.0785953,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e49ecff0dbf41:0x9b54a0370eea64a!8m2!3d24.9798438!4d47.0811702!16s%2Fg%2F11tff925d_?entry=ttu",24.9798438,47.0785953
26,حي الدانة الرياض,"25.0115162, 47.0872988",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%AF%D8%A7%D9%86%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@25.0115162,47.0872988,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e493510ad6c5b:0xa9bac8a7c5bde880!8m2!3d25.0115162!4d47.0898737!16s%2Fg%2F11tff8tfc1?entry=ttu",25.0115162,47.0872988
28,حي الرسالة الرياض,"25.000373, 47.0903353",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B1%D8%B3%D8%A7%D9%84%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@25.000373,47.0903353,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2e49171d4f3f39:0x30bfc3dfcf2745c2!8m2!3d25.000373!4d47.0929102!16s%2Fg%2F11s7rc4_bb?entry=ttu",25.000373,47.0903353
30,حي الرسالة الرياض,"25.000373, 47.0922665",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B1%D8%B3%D8%A7%D9%84%D8%A9+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%E2%80%AD/@25.000373,47.0922665,19z/data=!3m1!4b1!4m6!3m5!1s0x3e2e49171d4f3f39:0x30bfc3dfcf2745c2!8m2!3d25.000373!4d47.0929102!16s%2Fg%2F11s7rc4_bb?entry=ttu",25.000373,47.0922665
32,Ar Rihab,"24.7822653, 46.553994",0,"https://www.google.com/maps/place/Ar+Rihab,+Diriyah/@24.7822653,46.553994,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2ee6d29de986dd:0x50688efc3fe9f670!8m2!3d24.7870816!4d46.5620116!16s%2Fg%2F11b6bbhj6z?entry=ttu",24.7822653,46.553994
